csa_name_mod2_x,company_id,company_name_x,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start_x,head_count_worked_f30d,head_count_requested_f30d,fill_rate_f30d,shifts_worked_f30d,avg_days_between_shifts_f30d,csa_name_mod2_y,company_name_y,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start_y
All Other Markets Combined,4392,Vinayaka Hospitality,1,2,1,0.5,2,2,0,2022Q3,2,4,0.5,2,2.0,All Other Markets Combined,Vinayaka Hospitality,,,,,,,,,,,2022Q3
"Las Vegas-Henderson, NV",4402,Foodie Fit,3,4,4,1.0,118,4564,3811,2022Q3,221,757,0.2919,118,0.0171,"Las Vegas-Henderson, NV",Foodie Fit,2899.0,3129.0,0.9265,Food Services,1.2811,15.034203242388296,5.9139,109487.66,0.0046,3240.0,2022Q3
All Other Markets Combined,4403,MSP Design Group,6,4,3,0.75,6,17,-52,2022Q4,17,73,0.2329,6,0.4,All Other Markets Combined,MSP Design Group,,,,,,,,,,,2022Q4
"Las Vegas-Henderson, NV",4404,Catering with Rochelle,12,2,2,1.0,4,14,3,2022Q3,7,13,0.5385,4,0.3333,"Las Vegas-Henderson, NV",Catering with Rochelle,5.0,6.0,0.8333,Food Services,1.3333,16.0,4.1429,192.88,0.0,8.0,2022Q3
All Other Markets Combined,4418,Town Point Club,3,1,1,1.0,1,926,926,2022Q3,1,1,1.0,1,,All Other Markets Combined,Town Point Club,633.0,663.0,0.9548,Hospitality,1.4943,15.653061224489797,1.7945,17005.82,0.4136,659.0,2022Q3
All Other Markets Combined,4431,Go Fix Mobile,11,1,1,1.0,1,1,1,2022Q3,1,1,1.0,1,,All Other Markets Combined,Go Fix Mobile,,,,,,,,,,,2022Q3
All Other Markets Combined,4433,1-800 Water Damage VB,2,2,2,1.0,1,29,27,2022Q3,2,4,0.5,1,,All Other Markets Combined,1-800 Water Damage VB,27.0,30.0,0.9,Construction,4.5,15.833333333333334,14.0,845.63,11.6,27.0,2022Q3
All Other Markets Combined,4436,Mitchell Metal Products,4,2,1,0.5,2,2,0,2022Q3,2,4,0.5,2,1.0,All Other Markets Combined,Mitchell Metal Products,,,,,,,,,,,2022Q3
All Other Markets Combined,4439,Dog House Diner,2,1,1,1.0,2,1,0,2022Q3,2,2,1.0,2,1.0,All Other Markets Combined,Dog House Diner,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4444,Argent Associates,4,1,1,1.0,3,2,0,2022Q3,3,3,1.0,3,1.0,"Dallas-Fort Worth, TX-OK",Argent Associates,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4455,Chef at Your Service,4,2,3,1.5,1,3,-1,2022Q4,3,6,0.5,1,,"Dallas-Fort Worth, TX-OK",Chef at Your Service,,,,,,,,,,,2022Q4
All Other Markets Combined,4459,J. N. King Lawn Care,2,2,2,1.0,4,25,16,2022Q3,6,11,0.5455,4,4.3333,All Other Markets Combined,J. N. King Lawn Care,,,,Construction,1.0,20.0,9.0,,,1.0,2022Q3
"Dallas-Fort Worth, TX-OK",4465,Silicone Specialties Inc,3,1,1,1.0,1,1,1,2022Q3,1,1,1.0,1,,"Dallas-Fort Worth, TX-OK",Silicone Specialties Inc,,,,,,,,,,,2022Q3
All Other Markets Combined,4471,Mintahoe Catering & Events,15,1,1,1.0,1,2,2,2022Q3,1,1,1.0,1,,All Other Markets Combined,Mintahoe Catering & Events,,,,,,,,,,,2022Q3
All Other Markets Combined,4477,Bridging Roseville,6,1,1,1.0,18,394,337,2022Q3,30,58,0.5172,18,1.7059,All Other Markets Combined,Bridging Roseville,277.0,299.0,0.9264,Warehouse,2.5966,20.0,10.437,14979.9,2.0965,309.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4478,Professional Yard Services,1,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,"Salt Lake City-Provo-Orem, UT",Professional Yard Services,,,,,,,,,,,2022Q3
