csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start
"Salt Lake City-Provo-Orem, UT",369,nuNnitnrmo teniitotraIu,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",370,yimeseCrht Lkpte al olaPyaSs,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",373,s acLtelniAldaatSpgn s,,,,,,,,,,,2020Q2
All Other Markets Combined,374,oGploeA pd,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",375,uneftlylirllSmF ee,61.0,67.0,0.9104,Warehouse,3.0526,16.473684210526315,8.08,1690.66,13.3333,58.0,2020Q3
"Salt Lake City-Provo-Orem, UT",377, niIuoatxeirtNtlarnn,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",378,tufF  mleillFtkcllaSnu,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",379,OenQSitI,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",387,AluMlrttsoaucAe Dtn aio o,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",388,Sgniocs.m,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",390,eivseCL ormamLFrn,59.0,61.0,0.9672,Delivery,1.0862,17.0,3.9565,2826.51,5.1273,63.0,2020Q2
"Salt Lake City-Provo-Orem, UT",392,veaSCnoieukr  eTrL ,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",393,kP Sttieumaelar L,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",395,Nno9a,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",396,agnr malFeiR,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",397,"cIlneolechTa siCg,. neob",,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",398,ySi R jn lthaeCSi cnLeartk,158.0,169.0,0.9349,Warehouse,2.013,17.753246753246753,4.1548,6704.93,3.9868,155.0,2020Q2
"Salt Lake City-Provo-Orem, UT",399,"elgMn eLCaL,",,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",400,cSItee oACnr,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",401,irn osecWeseecrArhuSa evmai,,,,Warehouse,,,11.5,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",405,csiL pkdosUiStgaLk tleiae ,159.0,166.0,0.9578,Warehouse,1.2969,17.0,4.898,6539.97,1.622,166.0,2020Q2
"Dallas-Fort Worth, TX-OK",406,Ac vidi ustscorReRe,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",407,ulnsdwtilABi osce,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",408,csstT anoiibiargDl,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",409,uSthpSdi,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",411,nltaeHcteEeeils vhSeac ,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",412,rsF'soNnusi atue,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",413, nePsp oeCAssr,,,,,,,,,,,
