csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start
"Salt Lake City-Provo-Orem, UT",552,Mission Belt,,,,,,,,,,,2020Q4
All Other Markets Combined,554,Updike Logistics Nampa,,,,,,,,,,,2020Q3
All Other Markets Combined,556,Northwest Fulfillment,440,507,0.8679,Warehouse,1.7417,14.522140221402214,4.6624,14565.87,0.8727,472,2020Q3
"Salt Lake City-Provo-Orem, UT",564,Forever Floral Inc. - Inactive,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",581,Codale Electric Supply,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",592,Testing Engineers International,,,,Manufacturing,,,4.5000,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",602,ShopHero Inc.,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",606,Proline Range Hoods,,,,,,,,,,,2020Q4
All Other Markets Combined,617,Western States Garage Door,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",620,Tuff Country Ez Ride Suspension,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",621,"Motorsport, Inc.",37,42,0.8810,Warehouse,2.8571,18,1.4375,1335.65,14.3077,40,2020Q3
"Salt Lake City-Provo-Orem, UT",626,MicroClimate,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",627,Budget Boys Moving,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",641,LastMile Logistix,266,271,0.9815,Warehouse,1.1004,14,14.3275,8969.22,1.2645,285,2020Q3
"Salt Lake City-Provo-Orem, UT",642,Utah Maids,,,,,,,,,,,2020Q4
All Other Markets Combined,662,Alexander Clark Inc.,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",664,Handi Quilter,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",665,Interform,,,,,,,,,,,2021Q3
"Salt Lake City-Provo-Orem, UT",691,Benchmark Modern,14,14,1.0000,Construction,1.5556,21.11111111111111,7.2727,712.72,41.7143,14,2020Q4
"Salt Lake City-Provo-Orem, UT",692,Onions52,,,,,,,,,,,
All Other Markets Combined,698,Elite Office Suites,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",714,Elite Manufacturing and Packaging,,,,,,,,,,,2020Q4
All Other Markets Combined,716,Start Distributing Inc.,,,,,,,,,,,2020Q4
All Other Markets Combined,717,Atlas Resell Management,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",739,North Park Enterprises,,,,,,,,,,,2020Q4
All Other Markets Combined,740,Scentsy,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",767,Heritage General Contactors,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",774,GSP Companies,2638,2803,0.9411,Manufacturing,5.9872,15.010149572649572,8.2500,93387.14,0.3833,2802,2020Q4
"Salt Lake City-Provo-Orem, UT",786,Smith Steelworks/Powder Coating,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",797,Rosti,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",801,Aces Designs,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",805,"EnviroTech Molded Products, Inc",,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",808,Z-Brothers Pizza,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",856,"Utah Roof Saver, llc",,,,,,,,,,,2020Q4
