csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,average_head_count,average_hourly_wage,average_shift_lead,total_net_commissionable_revenue_2023,avg_days_between_shifts
"Salt Lake City-Provo-Orem, UT",978,American Maintenance Corp,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",979,"Quality Distribution, Inc.",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",980,PhoneSoap,29,34,0.8529,Warehouse,2.6154,13.788461538461538,4.2308,719.7,22.6667
"Salt Lake City-Provo-Orem, UT",982,Kim Pierce Masonry,,,,,,,,,
"Dallas-Fort Worth, TX-OK",984,Brilliant Fulfillment (Carrollton),,,,,,,,,
"Salt Lake City-Provo-Orem, UT",985,Big Rock Premium Landscaping,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",987,Dynamond Building Services,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",990,Admiral Beverage,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",994,Mindy Mae’s Market,,,,,,,,,
All Other Markets Combined,995,Franklin Sensors,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",997,Taxbot LLC,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",998,McNeil Printing,348,382,0.9110,Manufacturing,6.6000,14.553846153846154,4.1538,10486.48,5.2321
"Salt Lake City-Provo-Orem, UT",999,Tru Solutions Moving Company (Utah),,,,,,,,,
"Salt Lake City-Provo-Orem, UT",1000,Little Poppy Co,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",1005,Utah Paper Box Co.,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",1008,Canyon Sports and Spine,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",1009,Del Taco,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",1010,"Lucy Avenue, Inc",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",1011,Burton Cabinet Company,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",1012,Spoonful of Comfort,,,,,,,,,
All Other Markets Combined,1013,ShipZOOM,87,89,0.9775,Warehouse,4.0000,15,1.7895,1241.45,5.6111
"Salt Lake City-Provo-Orem, UT",1014,"Packsize, LLC",,,,,,,,,
All Other Markets Combined,1015,Personal Parties by Steph,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",1016,"Aileron, Inc",30,30,1.0000,Manufacturing,1.0244,15.634146341463415,13.4634,1367.81,10.7143
All Other Markets Combined,1017,Autosort Inc.,,,,,,,,,
